1	44	44
2	95	345
3	194	345
4	192	129
5	239	277
6	85	387
7	314	106
8	77	198
9	325	106
10	248	80
11	58	45
12	178	336
13	224	374
14	136	313
15	51	342
16	355	285
17	138	22
18	353	227
19	249	344
20	287	113
21	222	25
22	49	42
23	174	174
24	256	256
25	298	267
26	51	129
27	387	387
28	89	26
29	74	74
30	101	238
31	106	175
32	42	363
33	46	118
34	381	174
35	198	355
36	267	200
37	154	215
38	245	361
39	194	138
40	211	117
41	222	83
42	361	123
43	223	127
44	309	339
45	46	174
46	367	45
47	154	97
48	139	365
49	43	315
50	222	48
51	361	65
52	250	367
53	222	18
54	240	345
55	95	303
56	367	367
57	58	51
58	149	174
59	248	268
60	180	180
61	284	285
62	240	368
63	309	367
64	27	121
65	51	168
66	198	73
67	73	366
68	157	141
69	351	81
70	239	80
71	292	210
72	286	355
73	233	121
74	104	251
75	171	64
76	372	84
77	178	303
78	325	76
79	277	192
80	367	266
81	130	251
82	278	391
83	360	59
84	385	51
85	238	136
86	351	245
87	101	246
88	393	194
89	138	256
90	239	225
91	353	150
92	20	277
93	86	366
94	104	256
95	74	27
96	20	51
97	365	57
98	87	118
99	258	18
100	192	27
101	298	217
102	58	217
103	291	345
104	211	48
105	2	42
106	77	130
107	277	121
108	387	385
109	245	286
110	215	277
111	139	203
112	138	367
113	125	113
114	27	292
115	341	149
116	46	159
117	179	46
118	366	15
119	363	342
120	152	256
121	49	345
122	238	139
123	312	365
124	2	32
125	319	46
126	284	374
127	255	385
128	339	45
129	2	267
130	14	312
131	291	87
132	171	246
133	158	387
134	336	291
135	63	328
136	381	43
137	74	309
138	152	381
139	29	203
140	89	73
141	258	184
142	47	47
143	71	210
144	340	337
145	309	70
146	73	189
147	325	201
148	194	284
149	189	365
150	284	286
151	298	358
152	291	152
153	72	233
154	268	299
155	14	354
156	295	130
157	325	224
158	192	47
159	245	367
160	309	250
161	179	52
162	123	256
163	71	49
164	304	210
165	36	117
166	305	155
167	44	67
168	55	200
169	32	397
170	43	355
171	363	388
172	74	210
173	256	179
174	70	121
175	374	291
176	137	77
177	40	201
178	45	362
179	312	68
180	364	250
181	240	14
182	314	43
183	179	85
184	355	174
185	189	304
186	239	44
187	168	59
188	295	237
189	137	121
190	243	123
191	353	26
192	351	367
193	128	239
194	22	40
195	43	13
196	171	171
197	95	268
198	239	174
199	71	50
200	46	397
201	96	353
202	366	20
203	167	326
204	137	171
205	2	180
206	67	251
207	291	179
208	227	96
209	295	51
210	216	299
211	299	248
212	347	203
213	355	27
214	189	137
215	136	174
216	385	80
217	192	44
218	67	83
219	309	121
220	239	55
221	201	136
222	380	258
223	138	387
224	63	223
225	108	201
226	118	227
227	291	73
228	347	21
229	194	368
230	32	125
231	309	189
232	42	345
233	168	168
234	233	137
235	176	174
236	118	178
237	217	150
238	74	192
239	97	137
240	200	291
241	304	89
242	248	312
243	362	130
244	178	93
245	95	141
246	291	391
247	120	250
248	15	267
249	292	304
250	239	118
251	225	225
252	171	362
253	365	391
254	224	224
255	380	313
256	291	291
257	219	304
258	240	76
259	250	76
260	292	277
261	166	27
262	240	285
263	299	201
264	83	372
265	367	27
266	167	73
267	219	68
268	152	118
269	355	256
270	118	22
271	137	43
272	210	211
273	194	127
274	180	286
275	393	174
276	366	152
277	354	245
278	128	113
279	194	256
280	284	292
281	68	121
282	198	65
283	137	224
284	7	43
285	46	166
286	381	173
287	224	87
288	391	210
289	222	233
290	267	225
291	344	72
292	85	354
293	166	203
294	26	120
295	121	27
296	127	45
297	391	255
298	291	189
299	211	237
300	255	42
301	155	15
302	43	281
303	129	113
304	106	46
305	200	256
306	57	336
307	175	287
308	245	292
309	64	285
310	380	357
311	48	52
312	292	353
313	287	121
314	243	73
315	351	256
316	305	70
317	201	292
318	48	304
319	347	50
320	174	179
321	266	251
322	315	304
323	250	227
324	118	55
325	189	166
326	189	246
327	249	196
328	305	118
329	328	47
330	291	210
331	248	266
332	240	304
333	74	121
334	298	368
335	2	71
336	167	222
337	391	363
338	32	123
339	222	129
340	173	224
